Customer_ID,Credit_Score,Risk_Category
1,505,High
2,672,Medium
3,680,Medium
4,744,Medium
5,575,High
6,512,High
7,663,Medium
8,519,High
9,824,Low
10,704,Medium
11,628,High
12,539,High
13,659,Medium
14,842,Low
15,770,Low
16,459,High
17,469,High
18,687,Medium
19,600,High
20,830,Low
21,649,High
22,772,Low
23,541,High
24,649,High
25,658,Medium
26,680,Medium
27,531,High
28,599,High
29,569,High
30,745,Medium
31,455,High
32,646,High
33,495,High
34,500,High
35,654,Medium
36,484,High
37,486,High
38,538,High
39,849,Low
40,554,High
41,843,Low
42,595,High
43,451,High
44,470,High
45,453,High
46,785,Low
47,530,High
48,576,High
49,792,Low
50,781,Low
51,486,High
52,547,High
53,835,Low
54,755,Low
55,620,High
56,554,High
57,764,Low
58,804,Low
59,612,High
60,753,Low
61,635,High
62,644,High
63,604,High
64,499,High
65,468,High
66,787,Low
67,701,Medium
68,692,Medium
69,543,High
70,721,Medium
71,839,Low
72,544,High
73,458,High
74,641,High
75,576,High
76,767,Low
77,837,Low
78,847,Low
79,500,High
80,791,Low
81,757,Low
82,783,Low
83,745,Medium
84,482,High
85,592,High
86,799,Low
87,744,Medium
88,808,Low
89,829,Low
90,770,Low
91,460,High
92,838,Low
93,516,High
94,739,Medium
95,841,Low
96,640,High
97,462,High
98,781,Low
99,694,Medium
100,724,Medium
101,767,Low
102,763,Low
103,612,High
104,642,High
105,683,Medium
106,773,Low
107,809,Low
108,542,High
109,519,High
110,786,Low
111,580,High
112,700,Medium
113,738,Medium
114,635,High
115,643,High
116,479,High
117,700,Medium
118,765,Low
119,488,High
120,707,Medium
121,632,High
122,626,High
123,642,High
124,848,Low
125,842,Low
126,833,Low
127,534,High
128,628,High
129,525,High
130,747,Medium
131,517,High
132,818,Low
133,534,High
134,551,High
135,623,High
136,749,Medium
137,553,High
138,466,High
139,760,Low
140,469,High
141,657,Medium
142,545,High
143,649,High
144,506,High
145,489,High
146,596,High
147,674,Medium
148,518,High
149,826,Low
150,465,High
151,532,High
152,479,High
153,477,High
154,543,High
155,739,Medium
156,713,Medium
157,652,Medium
158,466,High
159,669,Medium
160,633,High
161,705,Medium
162,538,High
163,610,High
164,649,High
165,835,Low
166,770,Low
167,518,High
168,514,High
169,655,Medium
170,770,Low
171,492,High
172,663,Medium
173,732,Medium
174,601,High
175,668,Medium
176,542,High
177,659,Medium
178,751,Low
179,667,Medium
180,781,Low
181,740,Medium
182,539,High
183,657,Medium
184,455,High
185,766,Low
186,778,Low
187,610,High
188,587,High
189,628,High
190,633,High
191,501,High
192,692,Medium
193,804,Low
194,454,High
195,589,High
196,723,Medium
197,751,Low
198,797,Low
199,496,High
200,459,High
201,524,High
202,466,High
203,602,High
204,529,High
205,774,Low
206,596,High
207,507,High
208,743,Medium
209,705,Medium
210,803,Low
211,640,High
212,606,High
213,774,Low
214,806,Low
215,624,High
216,476,High
