Customer_ID,Customer_Name,Age,Gender,Occupation,Annual_Income,City
1,Customer_1,24,Female,Salaried,1958095,Chennai
2,Customer_2,61,Female,Salaried,1920331,Jaipur
3,Customer_3,29,Female,Engineer,336454,Hyderabad
4,Customer_4,49,Female,Business,2160447,Jaipur
5,Customer_5,29,Male,Business,1262133,Mumbai
6,Customer_6,29,Female,Engineer,698119,Kolkata
7,Customer_7,47,Female,Self-Employed,2876006,Kolkata
8,Customer_8,31,Male,Self-Employed,1021762,Delhi
9,Customer_9,62,Male,Engineer,462905,Pune
10,Customer_10,27,Female,Doctor,1221942,Jaipur
11,Customer_11,64,Female,Government,2931657,Mumbai
12,Customer_12,64,Female,Doctor,1235927,Chennai
13,Customer_13,60,Male,Business,287124,Delhi
14,Customer_14,26,Female,Business,2000908,Chennai
15,Customer_15,40,Female,Business,2107265,Lucknow
16,Customer_16,48,Female,Teacher,2171377,Delhi
17,Customer_17,60,Male,Doctor,2082345,Ahmedabad
18,Customer_18,63,Female,Self-Employed,765153,Kolkata
19,Customer_19,49,Male,Salaried,417156,Hyderabad
20,Customer_20,61,Female,Doctor,2898262,Hyderabad
21,Customer_21,56,Male,Self-Employed,1455017,Chennai
22,Customer_22,54,Male,Business,2266978,Kolkata
23,Customer_23,36,Male,Business,2443715,Kolkata
24,Customer_24,35,Male,Engineer,947086,Mumbai
25,Customer_25,25,Female,Salaried,1022776,Pune
26,Customer_26,31,Female,Self-Employed,1046917,Pune
27,Customer_27,63,Female,Teacher,1075431,Lucknow
28,Customer_28,51,Male,Engineer,1899551,Ahmedabad
29,Customer_29,44,Female,Business,566855,Delhi
30,Customer_30,38,Female,Business,2334394,Mumbai
31,Customer_31,24,Female,Engineer,2509123,Chennai
32,Customer_32,22,Female,Engineer,1803281,Lucknow
33,Customer_33,49,Male,Government,2469614,Mumbai
34,Customer_34,43,Female,Engineer,2741649,Mumbai
35,Customer_35,21,Male,Business,1525273,Jaipur
36,Customer_36,22,Female,Self-Employed,1874406,Mumbai
37,Customer_37,65,Female,Teacher,826223,Mumbai
38,Customer_38,60,Female,Salaried,914221,Pune
39,Customer_39,45,Female,Self-Employed,621537,Bengaluru
40,Customer_40,51,Female,Salaried,923288,Ahmedabad
41,Customer_41,65,Female,Business,2818831,Chennai
42,Customer_42,48,Male,Engineer,1283442,Mumbai
43,Customer_43,43,Male,Doctor,1368439,Bengaluru
44,Customer_44,55,Female,Government,2647126,Delhi
45,Customer_45,64,Female,Self-Employed,634654,Mumbai
46,Customer_46,49,Female,Government,2218220,Jaipur
47,Customer_47,37,Male,Teacher,2977581,Chennai
48,Customer_48,58,Female,Engineer,1453034,Lucknow
49,Customer_49,44,Male,Government,2208266,Delhi
50,Customer_50,59,Male,Government,2242742,Chennai
51,Customer_51,36,Male,Teacher,751430,Delhi
52,Customer_52,26,Male,Salaried,2647050,Delhi
53,Customer_53,61,Male,Teacher,363125,Jaipur
54,Customer_54,34,Female,Business,540916,Jaipur
55,Customer_55,21,Male,Salaried,1802538,Kolkata
56,Customer_56,27,Male,Government,2401042,Ahmedabad
57,Customer_57,26,Female,Self-Employed,1629945,Chennai
58,Customer_58,60,Male,Teacher,1680716,Kolkata
59,Customer_59,58,Female,Business,855675,Hyderabad
60,Customer_60,51,Male,Government,1542926,Delhi
61,Customer_61,30,Male,Doctor,2675937,Hyderabad
62,Customer_62,64,Female,Self-Employed,415385,Chennai
63,Customer_63,50,Female,Business,2064680,Lucknow
64,Customer_64,30,Male,Teacher,895164,Delhi
65,Customer_65,39,Male,Business,1264261,Pune
66,Customer_66,38,Male,Engineer,1536335,Delhi
67,Customer_67,55,Female,Government,2264618,Delhi
68,Customer_68,55,Female,Self-Employed,585783,Mumbai
69,Customer_69,54,Female,Salaried,2278378,Kolkata
70,Customer_70,29,Male,Engineer,2220051,Lucknow
71,Customer_71,63,Male,Doctor,2881953,Hyderabad
72,Customer_72,37,Female,Self-Employed,1431733,Lucknow
73,Customer_73,27,Female,Self-Employed,580625,Hyderabad
74,Customer_74,62,Female,Business,2481312,Jaipur
75,Customer_75,62,Male,Self-Employed,1648194,Mumbai
76,Customer_76,54,Female,Self-Employed,758538,Bengaluru
77,Customer_77,22,Female,Teacher,2899389,Mumbai
78,Customer_78,57,Female,Teacher,2666698,Mumbai
79,Customer_79,49,Male,Salaried,653352,Lucknow
80,Customer_80,30,Male,Salaried,2785459,Chennai
81,Customer_81,37,Male,Government,2470569,Bengaluru
82,Customer_82,37,Male,Salaried,1500519,Bengaluru
83,Customer_83,61,Male,Salaried,2352574,Delhi
84,Customer_84,41,Male,Salaried,626332,Ahmedabad
85,Customer_85,37,Female,Salaried,1333183,Delhi
86,Customer_86,48,Male,Business,1539071,Chennai
87,Customer_87,53,Male,Teacher,2640358,Delhi
88,Customer_88,45,Male,Self-Employed,669092,Chennai
89,Customer_89,61,Male,Engineer,2162259,Mumbai
90,Customer_90,62,Female,Self-Employed,2465774,Kolkata
91,Customer_91,63,Female,Teacher,1853407,Lucknow
92,Customer_92,58,Female,Teacher,2926324,Lucknow
93,Customer_93,59,Female,Government,1892525,Chennai
94,Customer_94,27,Female,Doctor,2618330,Mumbai
95,Customer_95,63,Male,Engineer,794658,Hyderabad
96,Customer_96,54,Female,Self-Employed,342939,Delhi
97,Customer_97,65,Female,Business,1545932,Hyderabad
98,Customer_98,45,Male,Business,2528862,Jaipur
99,Customer_99,49,Female,Self-Employed,823888,Jaipur
100,Customer_100,55,Female,Salaried,2835882,Bengaluru
101,Customer_101,31,Female,Salaried,2872165,Mumbai
102,Customer_102,34,Male,Engineer,2221824,Lucknow
103,Customer_103,23,Male,Teacher,1465033,Lucknow
104,Customer_104,49,Female,Self-Employed,2257172,Ahmedabad
105,Customer_105,45,Male,Government,429968,Hyderabad
106,Customer_106,22,Female,Engineer,2722164,Chennai
107,Customer_107,39,Male,Engineer,548143,Chennai
108,Customer_108,64,Male,Engineer,1425761,Bengaluru
109,Customer_109,45,Male,Salaried,2206811,Ahmedabad
110,Customer_110,55,Male,Business,1819188,Lucknow
111,Customer_111,60,Female,Doctor,1502176,Chennai
112,Customer_112,64,Male,Salaried,2323730,Lucknow
113,Customer_113,48,Male,Doctor,1042147,Pune
114,Customer_114,41,Male,Self-Employed,624286,Chennai
115,Customer_115,56,Female,Teacher,1174401,Delhi
116,Customer_116,42,Female,Self-Employed,2453911,Mumbai
117,Customer_117,42,Female,Self-Employed,1338948,Chennai
118,Customer_118,40,Male,Engineer,2226527,Lucknow
119,Customer_119,57,Male,Salaried,1519698,Bengaluru
120,Customer_120,56,Male,Engineer,1665118,Delhi
121,Customer_121,45,Male,Salaried,2806373,Ahmedabad
122,Customer_122,25,Male,Salaried,1794686,Jaipur
123,Customer_123,43,Male,Doctor,1421898,Chennai
124,Customer_124,62,Male,Doctor,924849,Jaipur
125,Customer_125,35,Male,Government,1271388,Mumbai
126,Customer_126,29,Female,Self-Employed,1700383,Hyderabad
127,Customer_127,36,Male,Salaried,864247,Hyderabad
128,Customer_128,58,Male,Government,352931,Chennai
129,Customer_129,50,Male,Business,1815230,Chennai
130,Customer_130,36,Female,Business,2477059,Delhi
131,Customer_131,42,Female,Engineer,1185774,Hyderabad
132,Customer_132,54,Female,Salaried,341210,Bengaluru
133,Customer_133,22,Male,Self-Employed,801620,Hyderabad
134,Customer_134,51,Female,Teacher,1251540,Bengaluru
135,Customer_135,27,Male,Salaried,1938464,Pune
136,Customer_136,37,Male,Engineer,1617958,Pune
137,Customer_137,52,Female,Salaried,707388,Ahmedabad
138,Customer_138,59,Female,Self-Employed,1568383,Lucknow
139,Customer_139,35,Male,Engineer,1275894,Bengaluru
140,Customer_140,32,Female,Business,2861816,Chennai
141,Customer_141,49,Male,Government,1334921,Jaipur
