Loan_ID,Customer_ID,Loan_Date,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term,EMI,Loan_Status
10,1,2021-11-28,Personal,3280325,12.67,180,20533.01,Closed
20,2,2022-12-02,Auto,4617428,13.84,300,17521.6,Closed
21,2,2023-01-19,Personal,4250511,17.59,60,83302.93,Active
22,2,2022-04-28,Gold,377085,15.13,180,2411.88,Active
30,3,2021-09-14,Home,6308949,14.78,300,24138.04,Active
31,3,2025-03-18,Business,802469,10.42,36,24613.51,Closed
32,3,2021-12-03,Personal,2746661,10.62,300,10127.85,Closed
40,4,2020-09-09,Gold,2928456,17.48,36,95565.28,Active
41,4,2023-10-11,Home,464118,13.48,300,1755.6,Active
50,5,2020-01-23,Auto,716058,11.14,12,66318.91,Active
60,6,2022-06-30,Auto,7871808,16.41,12,763630.97,Active
61,6,2020-10-02,Auto,1059543,11.81,24,49361.46,Closed
70,7,2023-11-14,Auto,5155426,9.83,180,31456.69,Closed
80,8,2025-01-02,Auto,5172534,7.67,24,232052.81,Default
81,8,2024-08-06,Education,3109568,17.34,36,101354.64,Default
82,8,2022-05-24,Home,1318583,10.04,60,24182.81,Active
90,9,2023-08-09,Education,5261215,10.92,36,162103.88,Closed
91,9,2023-07-07,Business,3908816,16.97,60,76202.37,Closed
100,10,2024-05-27,Gold,2744956,17.28,240,13413.68,Default
101,10,2021-04-05,Gold,3037540,17.85,300,11932.47,Active
110,11,2023-01-19,Home,7894174,7.94,180,47338.73,Active
111,11,2025-03-17,Education,6962861,13.92,300,26440.3,Closed
112,11,2023-12-05,Personal,1406255,8.89,60,25521.18,Active
120,12,2024-07-12,Home,2091826,16.94,240,10192.42,Closed
121,12,2021-10-29,Personal,6573426,10.33,36,201457.25,Active
122,12,2022-11-01,Gold,2611240,15.06,300,10014.98,Active
130,13,2021-01-14,Business,2637501,17.74,24,129391.4,Active
131,13,2021-05-07,Gold,3853348,10.96,36,118768.75,Active
132,13,2023-08-29,Education,5230037,10.18,12,480204.56,Active
140,14,2020-04-23,Education,4658877,15.05,12,446669.83,Active
141,14,2023-07-06,Auto,1714548,6.9,60,30547.53,Closed
150,15,2025-03-04,Gold,1800176,13.27,120,16992.16,Active
151,15,2020-05-10,Gold,6380292,8.69,12,577894.95,Closed
160,16,2022-04-02,Gold,254598,13.69,12,24121.04,Active
161,16,2024-08-08,Personal,7777866,11.69,60,144784.98,Active
170,17,2020-07-25,Education,6662971,15.33,24,320183.52,Default
180,18,2022-12-28,Auto,1256587,15.51,120,12095.7,Closed
181,18,2024-12-19,Gold,5829303,7.97,300,20979.66,Active
182,18,2022-07-24,Personal,3973180,14.21,60,75629.48,Active
190,19,2021-01-31,Personal,7442306,17.84,24,365417.22,Closed
200,20,2020-12-20,Auto,4934717,6.72,36,146286.94,Active
201,20,2022-07-18,Education,6988557,16.91,300,27234.41,Active
202,20,2023-03-10,Education,7553443,13.97,180,47825.88,Active
210,21,2022-01-02,Auto,5582718,7.24,12,498908.9,Closed
220,22,2024-11-06,Auto,5921436,10.59,180,36380.64,Active
221,22,2023-04-15,Home,6457580,12.18,12,603676.1,Closed
230,23,2024-05-13,Auto,5512427,14.43,36,175218.62,Active
240,24,2024-12-13,Home,1855484,12.45,24,86937.16,Active
250,25,2022-12-07,Auto,6151701,10.82,300,22724.38,Active
251,25,2023-07-24,Gold,2836612,8.62,120,25676.07,Default
252,25,2022-02-16,Gold,6950644,15.37,36,222748.83,Closed
260,26,2021-06-05,Gold,2237467,15.89,180,14405.56,Closed
261,26,2025-01-05,Gold,1758407,12.21,12,164425.71,Active
262,26,2020-03-04,Home,2283712,12.84,36,71581.68,Active
270,27,2025-03-24,Auto,5323371,6.84,36,157985.82,Closed
271,27,2020-11-28,Business,824195,12.57,120,7731.64,Closed
272,27,2020-09-30,Home,2481327,9.1,24,112796.99,Active
280,28,2022-11-29,Home,1153221,14.68,300,4408.38,Active
290,29,2024-03-14,Home,391464,14.98,36,12502.93,Active
291,29,2024-04-28,Education,3462580,13.33,60,65402.37,Active
292,29,2021-06-30,Home,2928219,11.94,24,136577.01,Closed
300,30,2020-10-18,Home,7223648,13.56,36,227865.96,Active
301,30,2022-04-22,Personal,5722571,17.75,180,37435.15,Closed
310,31,2024-11-10,Personal,6672562,8.1,12,601086.63,Active
311,31,2020-07-13,Education,3369663,14.79,60,64467.27,Closed
312,31,2020-02-17,Gold,4215827,14.81,36,134449.75,Active
320,32,2024-06-11,Business,6803304,15.68,120,65583.85,Closed
330,33,2022-09-11,Home,1195434,14.79,240,5717.66,Default
331,33,2020-06-15,Education,902407,8.85,36,27285.28,Active
340,34,2022-02-13,Auto,4315973,12.29,60,80773.43,Active
341,34,2023-04-04,Auto,1914184,11.91,60,35702.72,Default
342,34,2024-11-13,Education,879745,6.95,240,3920.36,Active
350,35,2025-04-13,Business,2712871,7.52,60,48614.65,Closed
351,35,2020-02-01,Auto,7924636,9.66,300,28967.19,Active
352,35,2024-07-13,Gold,3307168,6.75,60,58840.03,Default
360,36,2024-09-29,Education,5662577,9.74,24,258921.33,Active
370,37,2023-01-22,Education,3562813,14.88,12,341079.96,Closed
380,38,2023-04-06,Auto,298351,9.58,24,13622.21,Active
381,38,2023-06-26,Business,5694024,13.99,240,27044.24,Closed
382,38,2023-12-24,Education,6407676,17.82,36,209709.0,Default
390,39,2021-08-21,Home,5161114,8.81,180,31198.93,Active
400,40,2025-04-30,Education,5629097,11.66,36,174595.83,Default
401,40,2020-12-08,Home,5318484,13.97,240,25256.15,Active
402,40,2023-03-20,Auto,1543569,15.83,120,14899.3,Closed
410,41,2023-10-21,Personal,3287653,13.24,300,12409.79,Closed
420,42,2020-04-12,Personal,1845060,15.74,12,177956.04,Default
430,43,2021-06-11,Personal,2553652,6.78,300,9089.3,Active
440,44,2020-12-04,Gold,4337740,8.7,12,392926.95,Active
441,44,2022-10-14,Personal,2436665,10.62,240,11231.0,Closed
442,44,2020-12-11,Business,1223655,11.83,240,5701.72,Active
450,45,2023-05-28,Home,6395079,8.59,300,23148.05,Closed
451,45,2025-05-19,Gold,2585777,9.6,180,15744.51,Closed
460,46,2021-05-01,Auto,548606,9.89,60,10047.72,Default
470,47,2020-05-10,Personal,4740150,6.76,120,42171.53,Closed
480,48,2024-11-26,Home,6579363,9.44,36,200012.64,Active
490,49,2024-11-24,Education,1729729,8.18,240,7796.75,Active
500,50,2023-12-26,Business,168627,10.52,120,1553.05,Closed
510,51,2020-02-08,Auto,3285703,13.46,240,15533.16,Active
511,51,2025-05-11,Personal,2029498,12.73,180,12710.29,Closed
520,52,2020-05-02,Home,5618199,7.71,300,20171.21,Active
530,53,2020-04-22,Gold,4792840,16.71,300,18645.75,Active
531,53,2020-10-03,Gold,5201543,6.68,120,46241.72,Active
540,54,2020-12-26,Business,3773623,15.26,12,362456.49,Default
550,55,2022-06-01,Education,1847826,12.32,24,86478.26,Active
551,55,2021-02-01,Business,4915146,17.99,120,48328.17,Closed
560,56,2020-01-07,Personal,2352395,11.55,120,21867.47,Default
561,56,2022-10-20,Home,6853675,15.4,180,43939.67,Active
570,57,2020-06-12,Auto,4212398,7.57,36,125868.79,Active
580,58,2023-02-19,Home,314316,16.74,36,10192.57,Closed
590,59,2022-11-02,Gold,5843394,14.68,36,186144.56,Active
591,59,2024-04-14,Gold,6445519,12.9,60,121283.18,Active
592,59,2023-09-27,Auto,584188,15.46,180,3747.24,Closed
600,60,2021-09-06,Education,400868,16.82,240,1951.22,Active
610,61,2022-03-03,Business,3886216,14.31,60,74038.89,Active
611,61,2023-10-18,Home,385926,10.94,300,1427.15,Closed
612,61,2020-04-02,Home,1189752,7.64,180,7114.72,Default
620,62,2023-08-16,Education,4039033,10.62,120,37233.15,Active
621,62,2023-01-10,Auto,3143379,17.25,12,307134.32,Active
622,62,2023-12-07,Personal,4891510,11.65,120,45511.42,Closed
630,63,2023-06-11,Personal,4014083,8.99,120,36457.91,Active
640,64,2020-03-09,Gold,1189120,9.21,240,5410.99,Active
641,64,2023-11-20,Business,7855734,15.49,240,37802.45,Active
